0:CT-Date:PR-MonthName	0:CT-Date:PR-Day	0:CT-Date:PR-Year	1:CT-Time:PR-Hours	1:CT-Time:PR-Minutes	1:CT-Time:PR-TimeMeridian	1:CT-Time:PR-TimeZone	2:CT-Time:PR-Hours	2:CT-Time:PR-Minutes	2:CT-Time:PR-TimeMeridian	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	3:CT-Time:PR-TimeZone	4:CT-Time:PR-Hours	4:CT-Time:PR-Minutes	4:CT-Time:PR-TimeMeridian	5:PR-Place	6:CT-CityState:PR-City	6:CT-CityState:PR-StateName	7:CT-CityState:PR-City	7:CT-CityState:PR-State-Abbr	8:PR-Zipcode5Digit	9:CT-TemperatureF:PR-QuantitativeValue	9:CT-TemperatureF:PR-Degree	9:CT-TemperatureF:PR-UnitFahrenheit	10:PR-Sky	11:PR-WindSpeed	12:CT-Wind:PR-Windspeed	12:CT-Wind:PR-WindDirection	13:CT-VisibilityMiles:PR-QuantitativeValue	13:CT-VisibilityMiles:PR-UnitMiles	14:CT-TemperatureF:PR-QuantitativeValue	15:PR-Humidity	16:CT-TemperatureC:PR-QuantitativeValue	16:CT-TemperatureC:PR-Degree	16:CT-TemperatureC:PR-UnitCelcius	17:CT-PressureInches:PR-QuantitativeValue	17:CT-PressureInches:PR-UnitInches	18:CT-PressureBar:PR-QuantitativeValue	18:CT-PressureBar:PR-UnitBar	19:CT-PressurePascal:PR-QuantitativeValue	19:CT-PressurePascal:PR-UnitPascal	20:PR-WindDirection
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Tampa International Airport	NULL	NULL	Tampa	FL	33602	88	°	F	Mostly Cloudy	6 MPH	6	Vrbl	10.00	mi.	88	32%	0	°	C	30.19	""""	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	1	56	pm	NULL	1	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chicago/Ohare	NULL	NULL	Tinley Park	IL	60477	86	°	F	Partly Cloudy and Breezy	28 MPH	28	NULL	10.00	mi.	86	28%	-1	°	C	30.17	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	52	pm	NULL	1	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Milwaukee, General Mitchell International Airport	NULL	NULL	Milwaukee	WI	53202	84	°	F	Partly Cloudy	24 MPH	24	NULL	10.00	mi.	84	35%	-1	°	C	30.2	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Safford Municipal	NULL	NULL	Glenwood	NM	88039	89	°	F	Fair	10 MPH	10	SW	10.00	mi.	89	48%	0	°	C	30.17	""""	NULL	NULL	NULL	NULL	SW
NULL	NULL	NULL	1	55	pm	NULL	1	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Duluth International Airport	NULL	NULL	Duluth	MN	55803	68	°	F	Partly Cloudy	25 MPH	25	NULL	10.00	mi.	68	52%	0	°	C	30.22	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Detroit City Airport	NULL	NULL	Utica	MI	48317	84	°	F	A Few Clouds	25 MPH	25	NULL	10.00	mi.	84	38%	5	°	C	30.11	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Concord Municipal Airport	NULL	NULL	Hillsborough	NJ	03278	63	°	F	Overcast	7 MPH	7	Vrbl	10.00	mi.	63	38%	5	°	C	30.11	""""	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	2	46	pm	NULL	2	46	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mena Intermountain Municipal Airport	NULL	NULL	Warner	NH	71953	88	°	F	Fair	3 MPH	3	S	10.00	mi.	88	65%	4	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mena	AR	98466	57	°	F	Mostly Cloudy	5 MPH	5	N	10.00	mi.	57	48%	9	°	C	30.37	""""	NULL	NULL	NULL	NULL	N
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Somerville, Somerset Airport	NULL	NULL	Tacoma	WA	08844	89	°	F	A Few Clouds	8 MPH	8	S	8.00	mi.	89	48%	9	°	C	30.37	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	12	53	pm	NULL	12	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lawrenceville	GA	83622	59	°	F	Fair	18 MPH	18	NULL	10.00	mi.	59	34%	12	°	C	30.27	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	51	pm	NULL	1	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Victoria Regional Airport	NULL	NULL	Garden Valley	ID	77904	89	°	F	A Few Clouds	15 MPH	15	S	10.00	mi.	89	28%	11	°	C	30.23	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Emporia Kansas	NULL	NULL	Victoria	TX	66801	83	°	F	A Few Clouds	14 MPH	14	SE	10.00	mi.	83	47%	3	°	C	30	""""	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	1	54	pm	NULL	1	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Jackson International Airport	NULL	NULL	Emporia	KS	39110	74	°	F	Light Rain	5 MPH	5	S	10.00	mi.	74	N/A	N/A	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	1	56	pm	NULL	1	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Sioux Falls, Foss Field	NULL	NULL	Madison	MS	51242	83	°	F	Fair	15 MPH	15	S	10.00	mi.	83	37%	14	°	C	30.18	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Waupaca Municipal Airport	NULL	NULL	Lester	IA	54981	79	°	F	Fair	23 MPH	23	NULL	10.00	mi.	79	50%	18	°	C	30.23	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	55	pm	NULL	1	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Indianapolis International Airport	NULL	NULL	Waupaca	WI	46201	85	°	F	Partly Cloudy	8 MPH	8	SW	10.00	mi.	85	43%	22	°	C	30.18	""""	NULL	NULL	NULL	NULL	SW
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Louisville, Bowman Field Airport	NULL	NULL	Indianapolis	IN	40207	90	°	F	Partly Cloudy	7 MPH	7	Vrbl	10.00	mi.	90	8%	13	°	C	NULL	NULL	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	12	53	pm	NULL	12	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Louisville	KY	83702	59	°	F	Fair	18 MPH	18	NULL	10.00	mi.	59	8%	13	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Detroit City Airport	NULL	NULL	Boise	ID	48202	84	°	F	A Few Clouds	25 MPH	25	NULL	10.00	mi.	84	29%	8	°	C	30.16	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	12	53	pm	NULL	12	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Broomfield/Jeffco	NULL	NULL	Detroit	MI	80501	81	°	F	A Few Clouds	17 MPH	17	NULL	35.00	mi.	81	44%	3	°	C	30.21	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Greer, Greenville-Spartanburg Airport	NULL	NULL	Longmont	CO	29372	90	°	F	Fair	6 MPH	6	Vrbl	9.00	mi.	90	12%	27	°	C	NULL	NULL	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Russellville Municipal Airport	NULL	NULL	Pacolet	SC	72834	85	°	F	Fair	3 MPH	3	Vrbl	10.00	mi.	85	55%	22	°	C	30.18	""""	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lambert-St. Louis International Airport	NULL	NULL	Waynesville	NC	63101	81	°	F	Mostly Cloudy	8 MPH	8	S	10.00	mi.	81	55%	22	°	C	30.18	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Boston, Logan International Airport	NULL	NULL	Dardanelle	AR	02138	61	°	F	A Few Clouds	9 MPH	9	E	10.00	mi.	61	42%	14	°	C	30.34	""""	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	2	52	pm	NULL	2	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Toledo Express Airport	NULL	NULL	Saint Louis	MO	43402	85	°	F	Partly Cloudy	18 MPH	18	W	10.00	mi.	85	52%	16	°	C	30.16	""""	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Port Columbus International Airport	NULL	NULL	Cambridge	MA	43085	88	°	F	Partly Cloudy	16 MPH	16	W	10.00	mi.	88	63%	8	°	C	30.56	""""	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Windsor Locks, Bradley International Airport	NULL	NULL	Bowling Green	OH	06098	83	°	F	Mostly Cloudy	20 MPH	20	S	8.00	mi.	83	62%	8	°	C	30.52	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Washington DC, Reagan National Airport	NULL	NULL	Columbus	OH	20814	87	°	F	Mostly Cloudy with Haze	14 MPH	14	S	5.00	mi.	87	63%	8	°	C	30.53	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	12	55	pm	NULL	12	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cannon AFB/Clovis	NULL	NULL	Winsted	CT	88101	84	°	F	Partly Cloudy	15 MPH	15	SW	7.00	mi.	84	70%	2	°	C	30.54	""""	NULL	NULL	NULL	NULL	SW
NULL	NULL	NULL	1	35	pm	NULL	1	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Bethesda	MD	84057	52	°	F	Fair	22 MPH	22	NULL	10.00	mi.	52	27%	0	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Memphis International Airport	NULL	NULL	Clovis	NM	38117	74	°	F	Overcast	10 MPH	10	E	10.00	mi.	74	29%	-3	°	C	NULL	NULL	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Teterboro Airport	NULL	NULL	Orem	UT	07626	89	°	F	Fair	20 MPH	20	NULL	10.00	mi.	89	27%	1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Boston, Logan International Airport	NULL	NULL	Memphis	TN	02101	61	°	F	A Few Clouds	9 MPH	9	E	10.00	mi.	61	27%	1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Moriarty	NULL	NULL	Cresskill	NJ	87015	46	°	F	Clear	Calm	Calm	NULL	25.00	mi.	46	27%	1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Indianapolis, Eagle Creek Airpark	NULL	NULL	Boston	MA	46038	84	°	F	Fair	7 MPH	7	W	10.00	mi.	84	17%	-1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Charlotte/Douglas International Airport	NULL	NULL	Edgewood	NM	28277	86	°	F	Mostly Cloudy	6 MPH	6	S	7.00	mi.	86	26%	-3	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Fishers	IN	99504	54	°	F	Partly Cloudy	7 MPH	7	NW	10.00	mi.	54	23%	-1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NW
NULL	NULL	NULL	3	53	pm	NULL	3	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Greenville Downtown Airport	NULL	NULL	Charlotte	NC	29690	89	°	F	Partly Cloudy	8 MPH	8	SE	8.00	mi.	89	23%	-1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	3	53	pm	NULL	3	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Morgantown Municipal-Hart Field	NULL	NULL	Anchorage	AK	26508	68	°	F	Mostly Cloudy	9 MPH	9	S	10.00	mi.	68	29%	-3	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Travelers Rest	SC	97338	55	°	F	Mostly Cloudy	12 MPH	12	S	10.00	mi.	55	19%	1	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	3	53	pm	NULL	3	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Trenton, Mercer County Airport	NULL	NULL	Morgantown	WV	18940	90	°	F	Fair	8 MPH	8	S	8.00	mi.	90	79%	NULL	NULL	NULL	30.18	in	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	New York, La Guardia Airport	NULL	NULL	Dallas	OR	10001	84	°	F	Partly Cloudy	17 MPH	17	S	9.00	mi.	84	57%	NULL	NULL	NULL	30.19	in	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	3	55	pm	NULL	3	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Bad Axe, Huron County Memorial Airport	NULL	NULL	Johnston	RI	48445	79	°	F	Partly Cloudy	26 MPH	26	NULL	10.00	mi.	79	57%	NULL	NULL	NULL	30.19	in	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	3	54	pm	NULL	3	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lexington, Blue Grass Airport	NULL	NULL	Newtown	PA	40391	89	°	F	A Few Clouds	9 MPH	9	W	10.00	mi.	89	14%	NULL	NULL	NULL	30.05	in	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	2	55	pm	NULL	2	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Indianapolis International Airport	NULL	NULL	New York	NY	46260	87	°	F	Partly Cloudy	14 MPH	14	W	10.00	mi.	87	22%	NULL	NULL	NULL	30.12	in	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Jonesboro Municipal Airport	NULL	NULL	Kinde	MI	72401	91	°	F	Partly Cloudy	14 MPH	14	SE	10.00	mi.	91	19%	NULL	NULL	NULL	30.06	in	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Montrose Co. Arpt	NULL	NULL	Winchester	KY	81401	79	°	F	Fair and Breezy	29 MPH	29	NULL	10.00	mi.	79	16%	NULL	NULL	NULL	30.06	in	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lihue Airport	NULL	NULL	Indianapolis	IN	96744	84	°	F	Partly Cloudy	18 MPH	18	NE	10.00	mi.	84	44%	NULL	NULL	NULL	30.49	in	NULL	NULL	NULL	NULL	NE
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Denver/Centennial	NULL	NULL	Jonesboro	AR	80433	82	°	F	Partly Cloudy	16 MPH	16	S	10.00	mi.	82	71%	NULL	NULL	NULL	30.5	in	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	3	55	pm	NULL	3	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Laconia Municipal Automatic Weather Observing	NULL	NULL	Montrose	CO	03246	57	°	F	Overcast	9 MPH	9	NE	9.00	mi.	57	73%	NULL	NULL	NULL	30.48	in	NULL	NULL	NULL	NULL	NE
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Baton Rouge Metropolitan, Ryan Field	NULL	NULL	Kaneohe	HI	70785	81	°	F	Partly Cloudy	12 MPH	12	E	10.00	mi.	81	7%	NULL	NULL	NULL	30.05	in	NULL	NULL	1017.5	hPa	E
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Ankeny Regional Airport	NULL	NULL	Conifer	CO	50021	86	°	F	Fair	20 MPH	20	NULL	10.00	mi.	86	10%	NULL	NULL	NULL	29.99	in	NULL	NULL	1016	hPa	NULL
NULL	NULL	NULL	2	56	pm	NULL	2	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Cox Dayton International Airport	NULL	NULL	Laconia	NH	45429	85	°	F	Partly Cloudy	17 MPH	17	NULL	10.00	mi.	85	11%	NULL	NULL	NULL	30.01	in	NULL	NULL	1016	hPa	NULL
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Teterboro Airport	NULL	NULL	Walker	LA	07020	89	°	F	Fair	20 MPH	20	NULL	10.00	mi.	89	13%	NULL	NULL	NULL	30.03	in	NULL	NULL	1017	hPa	NULL
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Huntington, Tri-State Airport	NULL	NULL	Ankeny	IA	25625	92	°	F	A Few Clouds	8 MPH	8	SW	10.00	mi.	92	14%	NULL	NULL	NULL	30.04	in	NULL	NULL	1017	hPa	SW
NULL	NULL	NULL	3	54	pm	NULL	3	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Morrisville-Stowe State Airport	NULL	NULL	Dayton	OH	05672	75	°	F	Fair	8 MPH	8	SW	9.00	mi.	75	15%	NULL	NULL	NULL	30.13	in	NULL	NULL	1020	hPa	SW
NULL	NULL	NULL	2	52	pm	NULL	2	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Milwaukee, General Mitchell International Airport	NULL	NULL	Edgewater	NJ	53215	85	°	F	A Few Clouds	28 MPH	28	NULL	10.00	mi.	85	24%	NULL	NULL	NULL	29.98	in	NULL	NULL	1015	hPa	NULL
NULL	NULL	NULL	2	55	pm	NULL	2	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Menominee Automatic Weather Observing / Reporting	NULL	NULL	Holden	WV	54143	77	°	F	A Few Clouds	24 MPH	24	NULL	7.00	mi.	77	24%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	NULL
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Portland International Jetport	NULL	NULL	Stowe	VT	04021	50	°	F	Fog/Mist	5 MPH	5	E	0.75	mi.	50	24%	NULL	NULL	NULL	27.63	in	NULL	NULL	935.6	hPa	E
NULL	NULL	NULL	2	55	pm	NULL	2	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chicopee Falls / Westover Air Force Base	NULL	NULL	Milwaukee	WI	01101	82	°	F	A Few Clouds with Haze	17 MPH	17	NULL	6.00	mi.	82	25%	NULL	NULL	NULL	29.89	in	NULL	NULL	1012	hPa	NULL
NULL	NULL	NULL	3	54	pm	NULL	3	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Greater Buffalo International Airport	NULL	NULL	Marinette	WI	14204	78	°	F	Partly Cloudy	29 MPH	29	NULL	10.00	mi.	78	26%	NULL	NULL	NULL	29.99	in	NULL	NULL	1015.5	hPa	NULL
NULL	NULL	NULL	3	54	pm	NULL	3	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Baltimore, Inner Harbor	NULL	NULL	Cumberland Center	ME	21230	90	°	F	NA	NA	NA	NULL	NULL	NULL	90	26%	NULL	NULL	NULL	29.99	in	NULL	NULL	1016	hPa	NULL
NULL	NULL	NULL	3	54	pm	NULL	3	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pottstown Limerick Airport	NULL	NULL	Springfield	MA	19341	86	°	F	Fair	6 MPH	6	S	8.00	mi.	86	27%	NULL	NULL	NULL	30.2	in	NULL	NULL	1022.6	hPa	S
NULL	NULL	NULL	3	51	pm	NULL	3	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Newark International Airport	NULL	NULL	Buffalo	NY	07102	88	°	F	Mostly Cloudy	17 MPH	17	NULL	10.00	mi.	88	29%	NULL	NULL	NULL	30.24	in	NULL	NULL	1024	hPa	NULL
NULL	NULL	NULL	1	51	PM	NULL	NULL	NULL	NULL	1	51	PM	NULL	NULL	NULL	NULL	NULL	Linden	New Jersey	Mesa	AZ	07036	88	NULL	F	Partly Cloudy	12mph	12	SE	7.00	mi	88	30%	NULL	NULL	NULL	30.14	in	NULL	NULL	1020	hPa	SE
NULL	NULL	NULL	11	35	AM	NULL	NULL	NULL	NULL	11	35	AM	NULL	NULL	NULL	NULL	NULL	North Bend	Oregon	Baltimore	MD	97459	55	NULL	F	Partly Cloudy	9mph	9	W	10.00	mi	55	30%	NULL	NULL	NULL	30.26	in	NULL	NULL	1025	hPa	W
NULL	NULL	NULL	2	35	PM	NULL	NULL	NULL	NULL	2	35	PM	NULL	NULL	NULL	NULL	NULL	Gadsden	Alabama	Exton	PA	35903	86	NULL	F	Partly Cloudy	9mph	9	WSW	10.00	mi	86	31%	NULL	NULL	NULL	30	in	NULL	NULL	1015.8	hPa	WSW
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Boston	Massachusetts	Newark	NJ	02120	61	NULL	F	Partly Cloudy	9mph	9	E	10.00	mi	61	31%	NULL	NULL	NULL	30.17	in	NULL	NULL	1021.6	hPa	E
NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	NULL	Salt Lake City	Utah	NULL	NULL	84102	45	NULL	F	Light Rain	9mph	9	E	9.00	mi	45	32%	NULL	NULL	NULL	30.03	in	NULL	NULL	1016.8	hPa	E
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Salem	Virginia	NULL	NULL	24153	90	NULL	F	Partly Cloudy	8mph	8	SW	10.00	mi	90	32%	NULL	NULL	NULL	30.23	in	NULL	NULL	1024	hPa	SW
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Manchester	Connecticut	NULL	NULL	06040	83	NULL	F	Fair	13mph	13	SSE	9.00	mi	83	32%	NULL	NULL	NULL	30.22	in	NULL	NULL	1023	hPa	SSE
NULL	NULL	NULL	12	15	PM	NULL	NULL	NULL	NULL	12	15	PM	NULL	NULL	NULL	NULL	NULL	Coeur d' Alene	Idaho	NULL	NULL	83814	57	NULL	F	Fair	3mph	3	WNW	10.00	mi	57	33%	NULL	NULL	NULL	29.99	in	NULL	NULL	1016	hPa	WNW
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Washington	D.C.	NULL	NULL	20007	88	NULL	F	Partly Cloudy	13mph	13	S	8.00	mi	88	33%	NULL	NULL	NULL	30.2	in	NULL	NULL	1023	hPa	S
NULL	NULL	NULL	1	56	PM	NULL	NULL	NULL	NULL	1	56	PM	NULL	NULL	NULL	NULL	NULL	Evanston	Illinois	NULL	NULL	60201	86	NULL	F	Partly Cloudy	22mph	22	W	10.00	mi	86	33%	NULL	NULL	NULL	30.18	in	NULL	NULL	1021.9	hPa	W
NULL	NULL	NULL	11	55	AM	NULL	NULL	NULL	NULL	11	55	AM	NULL	NULL	NULL	NULL	NULL	Milton	Washington	NULL	NULL	98354	55	NULL	F	Mostly Cloudy	9mph	9	NW	7.00	mi	55	34%	NULL	NULL	NULL	30.05	in	NULL	NULL	1017.5	hPa	NW
NULL	NULL	NULL	06	53	AM	NULL	NULL	NULL	NULL	06	53	AM	NULL	NULL	NULL	NULL	NULL	Kailua	Hawaii	NULL	NULL	96734	78	NULL	F	Fair	7mph	7	S	10.00	mi	78	34%	NULL	NULL	NULL	30.31	in	NULL	NULL	1026	hPa	S
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Merna	Nebraska	NULL	NULL	68856	83	NULL	F	Fair	21mph	21	SSE	10.00	mi	83	35%	NULL	NULL	NULL	29.38	in	NULL	NULL	994.8	hPa	SSE
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Jackson	Mississippi	NULL	NULL	39212	73	NULL	F	Light Rain	0mph	0	CALM	6.00	mi	73	36%	NULL	NULL	NULL	30.06	in	NULL	NULL	1018	hPa	CALM
NULL	NULL	NULL	3	40	PM	NULL	NULL	NULL	NULL	3	40	PM	NULL	NULL	NULL	NULL	NULL	Liberty	Kentucky	NULL	NULL	42539	91	NULL	F	Partly Cloudy	0mph	0	CALM	10.00	mi	91	36%	NULL	NULL	NULL	30.08	in	NULL	NULL	1018	hPa	CALM
NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	NULL	Opelika	Alabama	NULL	NULL	36801	81	NULL	F	Thunder	5mph	5	ESE	10.00	mi	81	36%	NULL	NULL	NULL	30.31	in	NULL	NULL	1026	hPa	ESE
